```csv
stt,enum,value,description
31,E2EE_VERIFICATION_COMPLETED,"conference.e2ee.verification.completed","End-to-end encryption verification completed."
32,E2EE_VERIFICATION_READY,"conference.e2ee.verification.ready","End-to-end encryption verification ready."
33,ENCODE_TIME_STATS_RECEIVED,"conference.encode_time_stats_received","Local video encode time statistics received."
34,ENDPOINT_MESSAGE_RECEIVED,"conference.endpoint_message_received","Data channel message from another participant received."
35,ENDPOINT_STATS_RECEIVED,"conference.endpoint_stats_received","Endpoint stats message received from bridge."
36,FILE_SHARING_FILE_ADDED,"conference.file_sharing.file_added","A file was added to the conference."
37,FILE_SHARING_FILE_REMOVED,"conference.file_sharing.file_removed","A file was removed from the conference."
38,FILE_SHARING_FILES_RECEIVED,"conference.file_sharing.files_received","List of shared files received."
39,FORWARDED_SOURCES_CHANGED,"conference.forwardedSourcesChanged","Forwarded sources changed."
40,KICKED,"conference.kicked","Local participant was kicked from the conference."
41,LAST_N_ENDPOINTS_CHANGED,"conference.lastNEndpointsChanged","Last N endpoints set changed."
42,LOBBY_USER_JOINED,"conference.lobby.userJoined","A user joined the lobby."
43,LOBBY_USER_LEFT,"conference.lobby.userLeft","A user left the lobby."
44,LOBBY_USER_UPDATED,"conference.lobby.userUpdated","Lobby user updated."
45,LOCK_STATE_CHANGED,"conference.lock_state_changed","Room lock state changed (locked/unlocked)."
46,MEMBERS_ONLY_CHANGED,"conference.membersOnlyChanged","Members-only mode toggled."
47,MESSAGE_RECEIVED,"conference.messageReceived","Public chat message received."
48,METADATA_UPDATED,"conference.metadata.updated","Conference metadata updated."
49,NO_AUDIO_INPUT,"conference.no_audio_input","Selected input device has no audio signal."
50,NOISY_MIC,"conference.noisy_mic","Microphone is producing noisy input."
51,NON_PARTICIPANT_MESSAGE_RECEIVED,"conference.non_participant_message_received","Message from a non-participant or backend received on data channel."
52,P2P_STATUS,"conference.p2pStatus","Conference switched between JVB and P2P."
53,PARTICIPANT_FEATURES_CHANGED,"conference.partcipant_features_changed","Participant features changed."
54,PARTICIPANT_KICKED,"conference.participant_kicked","A participant was kicked from the conference."
55,PARTICIPANT_PROPERTY_CHANGED,"conference.participant_property_changed","A participant property value changed."
56,PARTICIPANT_SOURCE_UPDATED,"conference.participant_source_updated","Remote participant's source state changed."
57,PERMISSIONS_RECEIVED,"conference.permissions_received","Local participant permissions updated."
58,PHONE_NUMBER_CHANGED,"conference.phoneNumberChanged","Phone number changed."
59,POLL_ANSWER_RECEIVED,"conference.pollAnswerReceived","A poll answer was received."
60,POLL_RECEIVED,"conference.pollReceived","A poll was received or loaded from history."
61,PRIVATE_MESSAGE_RECEIVED,"conference.privateMessageReceived","A private message was received."
62,PROPERTIES_CHANGED,"conference.propertiesChanged","Conference properties changed."
63,REACTION_RECEIVED,"conference.reactionReceived","A reaction was received."
64,RECORDER_STATE_CHANGED,"conference.recorderStateChanged","Recorder state changed."
65,SERVER_REGION_CHANGED,"conference.server_region_changed","Media server region changed."
66,SILENT_STATUS_CHANGED,"conference.silentStatusChanged","Participant joined silent (no audio)."
67,START_MUTED_POLICY_CHANGED,"conference.start_muted_policy_changed","Start-muted policy changed."
68,SUBJECT_CHANGED,"conference.subjectChanged","Conference subject changed."
69,SUSPEND_DETECTED,"conference.suspendDetected","Suspension detected (e.g., device sleep)."
70,TALK_WHILE_MUTED,"conference.talk_while_muted","Local user spoke while muted."
71,TRACK_ADDED,"conference.trackAdded","A media track was added."
72,TRACK_AUDIO_LEVEL_CHANGED,"conference.audioLevelsChanged","A track's audio level changed."
73,TRACK_MUTE_CHANGED,"conference.trackMuteChanged","A track's mute state changed."
74,TRACK_REMOVED,"conference.trackRemoved","A track was removed from the conference."
75,TRACK_UNMUTE_REJECTED,"conference.trackUnmuteRejected","Request to unmute a track was rejected by Jicofo."
76,TRANSCRIPTION_STATUS_CHANGED,"conference.transcriptionStatusChanged","Transcription session status changed."
77,USER_JOINED,"conference.userJoined","A user joined the conference."
78,USER_LEFT,"conference.userLeft","A user left the conference."
79,USER_ROLE_CHANGED,"conference.roleChanged","User role changed."
80,USER_STATUS_CHANGED,"conference.statusChanged","User status changed."
81,VIDEO_CODEC_CHANGED,"conference.videoCodecChanged","Local video codec changed."
82,VIDEO_SIP_GW_AVAILABILITY_CHANGED,"conference.videoSIPGWAvailabilityChanged","Video SIP GW availability changed."
83,VIDEO_SIP_GW_SESSION_STATE_CHANGED,"conference.videoSIPGWSessionStateChanged","Video SIP GW session state changed."
84,VIDEO_UNMUTE_PERMISSIONS_CHANGED,"conference.video_unmute_permissions_changed","Video unmute permissions changed based on sender limits."
85,VISITORS_MESSAGE,"conference.visitors_message","Message from visitors component received."
86,VISITORS_REJECTION,"conference.visitors_rejection","Promotion request for visitors was rejected."
87,VISITORS_SUPPORTED_CHANGED,"conference.visitorsSupported","Visitors support availability changed."

**Usage Notes:** Subscribe to core events (for example `CONFERENCE_JOINED`, `TRACK_ADDED`, `USER_JOINED`) to drive UI updates, error handling and telemetry.

---
Source: workspace reference files.
```
