**Title:** `EventListener` (Jitsi Meet SDK events)

**Purpose:** Catalog of events emitted by Jitsi Meet (web SDK / iframe API) with descriptions of the callback object. This file provides a quick reference for event names, the shape of the listener argument, and the meaning of each event.

**Members (CSV)**
```csv
stt,event,object,description
58,transcribingStatusChanged,"{on: boolean}","on: Transcription active state (boolean). Emitted when transcribing status changes."
59,transcriptionChunkReceived,"{language: string, messageID: string, participant: object, final: string, stable: string, unstable: string}","language: Transcription language; messageID: Chunk ID; final/stable/unstable: Different transcript versions. Emitted when a new transcription chunk is received."
60,whiteboardStatusChanged,"{status: string}","status: New whiteboard status. Emitted when the whiteboard state changes."
61,p2pStatusChanged,"{isP2p: boolean | null}","isP2p: Whether the new connection type is P2P. Emitted when connection type changes between P2P and JVB."
62,audioOnlyChanged,"{audioOnlyChanged: boolean}","audioOnlyChanged: Whether audio-only mode was toggled. Emitted when audio-only mode changes."
```

**Notes:**
- The object field descriptions are summaries; the runtime objects may include additional fields. Keep event names stable in code.
- Translations and descriptions are based on internal repository references.

---
Source: workspace reference files.
